user_id,hour_0_wt,hour_1_wt,hour_2_wt,hour_3_wt,hour_4_wt,hour_5_wt,hour_6_wt,hour_7_wt,hour_8_wt,hour_9_wt,hour_10_wt,hour_11_wt,hour_12_wt,hour_13_wt,hour_14_wt,hour_15_wt,hour_16_wt,hour_17_wt,hour_18_wt,hour_19_wt,hour_20_wt,hour_21_wt,hour_22_wt,hour_23_wt,session_all_per_day,pid_exposed_all_per_day,pid_watch_all_per_day,coverage_per_2weeks,category_count_unique,age,gender,month_chronological_order,preds_3_label_criteria_label,preds_soft_label,watch_all_per_day_min,midnight_wt_min,morning_wt_min,noon_wt_min,afternoon_wt_min,evening_wt_min
6,14,0,375.25,441,0,0,0,309.3333333,49.25,239,0,0,11,487,1012,374.75,741.5,1376,0,0,0,11,0,0,2.923076923,77.71428571,23.61538462,4.666666667,135,21,M,8,Severely Addicted,Addicted,15,13,9,8,58,0
6,1.5,7.333333333,19,22.5,7,47.5,196.5,374.7142857,189.75,66.5,3.5,0.5,1.5,221.5,410.75,734.25,331.4,106.7142857,22.83333333,749,137.75,1,31.66666667,610.3333333,4.80952381,113.9130435,18.76190476,7.666666667,182,21,M,9,Severely Addicted,Addicted,13,1,13,3,26,25
6,0,2.555555556,241.75,48.33333333,68.42857143,75.33333333,0,0,134.4,19,0.25,132,46.2,19.2,39.375,28.81818182,48.55555556,73,1,21.375,0,16.72727273,0,0,9.125,168.6153846,15.6875,8.666666667,320,21,M,10,Severely Addicted,Addicted,7,7,4,1,3,0
25,732.75,193.75,0,0,0,4,29.5,503.6666667,242,264.9333333,138.5,265.7777778,361.3333333,121.75,33.5,251.5,388,129.4285714,58.3,3.5,315.2857143,162.5714286,195.8,654.4,6.791666667,285.9166667,110.5,8,319,28,M,1,Severely Addicted,Addicted,26,15,24,8,13,23
25,202.6923077,396.5,140,104,0,0,8,90.6,6.583333333,109.8125,83.41666667,98.8,99.7,159.7,137.6,8.166666667,44.375,390.1818182,105.1538462,24.33333333,61.69230769,71.4,171,266.7857143,7.5,219.1333333,42.2,10,282,28,M,2,Severely Addicted,Addicted,14,14,6,4,9,11
25,314.5263158,335.5833333,427.75,26,768,252,0,291,422.8888889,346.1904762,224.0666667,269.6428571,134.6,196.3636364,160.6428571,76.07142857,135.3636364,146.8823529,28.75,78.9,132.8461538,276.6428571,260.1428571,200.9411765,10.83333333,375.3,124,10,306,28,M,3,Severely Addicted,Addicted,32,35,25,5,8,16
25,414.5555556,121.6,113,260,619.5,450.5,207.3333333,150,88.58823529,171,329.75,193.7777778,96.23076923,144.2727273,24.66666667,58.91666667,222.1666667,256.5555556,120.1666667,72.90909091,33.22222222,44.07142857,52.33333333,257.9090909,9.071428571,278.1428571,93.92857143,9.333333333,275,28,M,4,Severely Addicted,Addicted,18,32,19,4,9,9
25,28.27272727,312.1666667,617.6666667,650,6,0,85.16666667,148.5,35.52941176,304.4444444,151,281.3333333,237,54.81818182,107.3333333,254.5,567.6666667,60.90909091,584.8888889,46.33333333,37.09090909,248.8181818,192.8571429,157.7777778,7.37037037,233.5357143,91,9.333333333,291,28,M,5,Severely Addicted,Addicted,20,26,16,4,16,21
25,346.5,3,197.75,404,626,76.5,273,409.25,269.9166667,96.875,17.8,3.8,122.6666667,38.44444444,129.4,331.4545455,83.5,45.5,414.7142857,639.75,86.4,307.6666667,141.5714286,342.0769231,6.172413793,235.5666667,77.72413793,10,286,28,M,6,Severely Addicted,Addicted,21,27,17,2,9,32
25,306,243.2857143,139,231.3333333,0.2,0,1.5,267.5,394.3333333,122.2727273,0,163.4,293.625,418.4166667,227.8888889,172,277.2222222,256.7777778,165.75,180.875,46,0,42.75,45.57142857,6.423076923,197.1,85.96153846,10,277,28,M,7,Severely Addicted,Addicted,22,15,15,11,15,8
25,102.5714286,119,598.6666667,6,1196,0,339,125.8333333,396.6666667,236.5,63,251.5,563.3333333,145.6,1.2,481.5,137.3333333,153,399.7142857,304,250.5,97.33333333,92.5,221.25,6.277777778,228,75.72222222,6.333333333,248,28,M,8,Severely Addicted,Addicted,21,33,23,11,12,22
25,246.4166667,458,534.5,13,0,3,223,475.4,519,375.6363636,326,302.5,481.1818182,317.8888889,79.66666667,354,353.9166667,226.1666667,83.25,215,215.4666667,316.7857143,580.8,411.2222222,10.25,436,153.5,9.333333333,317,28,M,9,Severely Addicted,Addicted,46,20,37,13,16,30
25,168.5454545,716.5714286,259.5,0,0,0,441.8571429,592.6842105,593.6666667,267.6,394.8461538,459.8421053,546.6470588,552,362.5833333,319.8571429,338.8333333,593.875,484.5882353,190.4615385,471.3571429,313.6363636,432.8333333,328.3333333,11.68965517,548.8666667,251.5517241,10,369,28,M,10,Severely Addicted,Addicted,69,19,45,18,26,37
59,1587.944444,1599.470588,2046,2439.714286,1942.5,1485.8,998.8333333,583.7,496.1176471,562.2,652.5,445.4117647,494.875,590.4210526,848.8333333,933.2142857,741.4736842,673.5882353,346.65,656.4117647,628.25,326.4,966.6315789,1090.16,15.74074074,1194.185185,548.4814815,9,476,34,M,1,Severely Addicted,Addicted,191,185,62,18,53,66
